Daftar Material
PLAST DARK BLUE MFPP 16097 R3
DAICURE CLB1 PROCESS YELLOW
DAICURE CLB1 PROCESS MAGENTA
UV 0088 S BLACK TEH RIO
DAICURE CLB1 PROCESS CYAN
DAICURE SL PV SLIP ADDITIVE
BOX HIJAU 596 X 356 X 433 MM - DW
RESIN HDPE 6070 EA - PANDAAN
WRAPPING 50 CM X 300 M X 12 MIC
"SLEVE 0,015 X 18 X 72 CM - HD"
RESIN INNOPLUSH HD2410C-P
REMAFIN BLUE PL5F402097-Z MX-E8478 FS
C-PLAST 6006 YELLOW
DAN BLUE 7 575 10488 7
PLAST BLUE MFPP 5911 R4
PLAST BLUE MFPE 11902
BOX BIRU 580 X 360 X 580 MM - SW
"INNER BAG 0,025 X 61 X 81 CM - PE"
"INNER BAG 0,03 X 89 X 135 CM - PE"
COLMASTER RED 64341 F
PLAKBAN 45 CM X 100 M
 RESIN HDPE 6070 EA - KLATEN
PLAST TRANS BLUE MFPE 6613 R2 B
"SLEVE 0,015 X 13 X 70 CM - HD"
UV 4157 TR GB BLACK SAP
RESIN HDPE 6070 EA - SAP
ECOSOL - 710 UV
RESIN HDPE 6070 EA - BANYUWANGI
BOX BIRU TB 596 X 356 X 433 MM - SW
"SHEET TRAY PP NATURAL 0,31 X 630 X 563 MM"
"SHEET TRAY PP NATURAL 0,27 X 620 MM"
DAICURE SL PV 208 WARM RED
RESIN HDPE 6070 EA - MANADO
BOX BIRU ALE 584 X 364 X 480 MM - SW
Green 4047
BOX MERAH 596 X 356 X 433 MM - DW
"INNER BAG 0,035 X 200 X 230 CM - PE"
"INNER BAG 0,020 X 110 X 105 CM - HD"
C-PLAST 3037 BLACK
C-PLAST 7042 ORANGE
STICKER MANIFESTO MEKARSARI
BOX POLOS 580 X 370 X 470 MM - SW
KARUNG POLOS 70 X 100 CM
KARUNG POLOS 80 X 130 CM
WHITE OPT 1 ( Huber )
BOX POLOS 770 X 465 X 420 MM - SW
C-PLAST 5087 BLUE
KAIN MAJUN WARNA
PLAST TRANS BLUE MFPE 21706 A - 23
PLAST PURPLE MFPE 19188 - 21
BLANKET CONTI LASER 1060 X 1000
RESIN HDPE 6070 EA - MAMBAL
"SHEET TRAY PP NATURAL 0,29 X 620 X 610 MM"
"SHEET TRAY PP NATURAL 0,31 X 500 X 709 MM"
"SHEET TRAY WHITE 0,70 X 510 MM"
BOX PRINTING 770 X 465 X 420 MM - SW
PLAST TRANS BLUE MFPET 22944 - 24
KAIN MAJUN WARNA KATUN
COLMASTER PINK 112531 F
PLAST GREEN TOSCA MFPE 13476
"INNER BAG 0,030 X 45 X 89,5 CM - PE"
PLAST TRANS LIGHT GREEN MFPE 23432 - 25
ALKOHOL 96%
BOX POLOS 580 X 360 X 580 MM - SW
"BLANKET TAN 1067 X 1000 X 1,96 MM"
"BLANKET ACO PLAST ORANGE 1000 X 1000 X 1,95 MM"
PLAST TRANS BLUE MFPE 23152 B 24
KAIN MAJUN
SAMPLE KARUNG HIJAU  75 X 115 CM
SAMPLE MASTERBATCH BLUE 2506003-5
"INNER BAG 0,03 X 110 X 138 CM - PE"
BOX POLOS DW 578 X 375 X 368 (MAMBAL)
-
PLAST GREEN MFPE 22728 - 24
RESIN HDPE 5211 EA-B
BOX TB WIRAUSAHA 596 X 356 X 433 MM - SW
STICKER MANIFESTO MEKARSARI - NEW DESAIN
BLUE HOKKAN
"SLEVE 0,03 X 18 X 66 CM ( TEH POCI )"
BOX TEH POCI 450 X 360 X 460 MM
BOX MERAH 580 X 360 X 580 MM
ULTRAPURGE PET-E (UP 5000 )
SAMPLE PD 260271-9 ( MB DARK BLUE )
SAMPLE BOX WIRAUSAHA
PLAST GREEN MFPE 12386
PLAST TRANS BLUE MFPET 24065 - 25
HOLCOBATCH BLUE 11-30-25187
"SLEVE BIRU 0,025 X 13 X 75 CM"
BOX HITAM 578 X 375 X 368 MM - DW
C-PLAST 2012 RED
RESIN HDPE 6070 EA - KLATEN
C-PLAST 2105 RED 
"SHEET PP NATURAL 0,31 X 500 MM"
"SHEET PP NATURAL 0,31 X 630 MM"
"SHEET PP NATURAL 0,27 X 620 MM"
"SHEET PP NATURAL 0,29 X 620 MM"
PLAST TRANS BLUE MFPET 24065-25 (PENGGANTI RETUR)
BENANG NEW HOME 
C-PLAST 9049 GOLD
SAMPLE TINTA 15232 UV WHITE KR-10
SAMPLE TINTA 15231 UV WHITE KR-5
C-PLAST 6006 YELLOW 
"SHEET TRAY 0,31 X 630 X 563"
"SHEET TRAY 0,31 X 500 X 709"
SAMPLE BOX POLOS
HOLCOBATCH BLUE  11358
COLMASTER PINK 112531 F 
PLAST TRANS BLUE MFPE 23510-25
PLAST TRANS BLUE MFPET 22944-24
UV 4157 TR GB BLACK SAP 
"INNER BAG 0,03 X 100 X 105 CM - PE "
"INNER BAG 0,025 X 100 X 105 CM - PE"
RESIN HDPE 6070 EA 
DAICURE CLB1 PROCSS MAGENTA
MB COLMASTER RED 64341 
